20,40,60,zip,total,0,80
2195,2830,1789,1069,8919,1663,442
98,207,177,1070,637,128,27
266,348,314,1071,1206,253,25
269,464,392,1072,1490,343,22
1246,1629,1695,1073,6090,1282,238
148,187,0,1074,477,142,0
5078,4589,3471,1075,17755,3710,907
2001,2885,2008,1077,9711,2089,728
116,127,58,1079,480,97,82
867,564,319,1080,2532,684,98
381,487,414,1081,1827,458,87
2630,3046,2307,1082,10637,2358,296
903,964,291,1083,3182,812,212
12,65,52,1084,183,38,16
11219,10536,7721,1085,41652,10233,1943
150,0,0,1086,683,533,0
112,117,121,1088,399,30,19
7741,7861,4821,1089,28671,6809,1439
199,484,118,1092,1133,259,73
39,123,115,1093,348,62,9
80,51,97,1094,327,47,52
2853,4130,3439,1095,14659,3414,823
542,835,587,1096,2607,586,57
3,14,4,1097,54,33,0
244,395,311,1098,1186,188,48
923,602,391,1103,2409,457,36
6138,6539,3348,1104,23635,6714,896
3787,2689,1578,1105,11601,3345,202
2503,4893,3241,1106,16048,4312,1099
3541,2392,1146,1107,11304,4006,219
8414,6951,3241,1108,28925,9670,649
9075,6642,3908,1109,30125,9756,744
4311,3380,2759,1118,14774,3661,663
3682,3125,2214,1119,13236,3524,691
644,866,708,1128,2798,473,107
1659,1931,1404,1129,6750,1466,290
2527,2213,1222,1151,8884,2682,240
0,0,0,1199,0,0,0
11131,12625,9452,1201,44775,9195,2372
2042,2325,1837,1220,8211,1637,370
188,271,180,1222,818,146,33
434,800,624,1223,2351,418,75
23,159,19,1224,209,8,0
630,1022,806,1225,3169,627,84
1353,2214,1567,1226,6839,1276,429
0,6,69,1229,86,0,11
1271,2301,2251,1230,8359,1954,582
528,916,621,1235,2671,521,85
240,292,280,1236,1197,337,48
477,865,633,1237,2662,622,65
1362,1489,1497,1238,5917,1214,355
678,1030,1381,1240,4493,707,697
152,72,91,1242,475,147,13
55,117,129,1243,333,21,11
10,17,52,1244,108,10,19
118,244,264,1245,803,104,73
3913,4395,3107,1247,15703,3364,924
50,254,326,1253,742,73,39
134,249,374,1254,977,155,65
117,239,249,1255,859,194,60
100,283,180,1256,764,173,28
282,631,753,1257,2138,354,118
75,66,122,1258,357,32,62
64,149,237,1259,506,22,34
90,183,25,1260,447,135,14
192,314,372,1262,1110,113,119
33,57,73,1264,205,20,22
224,378,460,1266,1360,209,89
2000,1310,1508,1267,7853,2457,578
138,289,228,1270,813,148,10
4429,4925,3757,1301,17715,3572,1032
238,527,360,1330,1468,277,66
2988,4092,2837,1331,13281,2842,522
427,841,613,1337,2626,558,187
26,45,79,1338,170,16,4
265,393,419,1339,1472,296,99
316,469,491,1340,1642,289,77
240,621,449,1341,1743,364,69
242,636,338,1342,1759,444,99
0,27,11,1343,46,0,8
362,443,334,1344,1518,338,41
83,142,128,1346,464,98,13
40,25,39,1347,126,15,7
360,348,174,1349,1231,286,63
17,30,17,1350,86,15,7
384,816,447,1351,2209,414,148
486,462,381,1354,1604,215,60
125,329,229,1355,917,194,40
527,949,696,1360,3012,722,118
1823,2298,1777,1364,7819,1733,188
228,427,278,1366,1218,191,94
127,127,159,1367,605,160,32
200,456,354,1368,1316,258,48
677,1277,1082,1370,4032,768,228
856,1422,899,1373,4160,818,165
1689,753,525,1375,3662,573,122
1251,1348,1244,1376,5096,975,278
119,236,257,1378,744,102,30
189,223,279,1379,836,135,10
11336,10796,5973,1420,40666,11005,1556
1159,1856,1313,1430,6210,1818,64
607,1148,630,1431,3195,709,101
2358,2420,1061,1432,7703,1589,275
627,662,277,1434,1712,119,27
737,1018,534,1436,3460,908,263
150,94,293,1438,563,26,0
5303,5913,3418,1440,20496,4669,1193
1642,3989,2127,1450,11282,3099,425
584,1610,1000,1451,4630,1304,132
791,1698,799,1452,4581,1156,137
10151,11851,6797,1453,41446,10451,2196
2031,3164,1839,1460,9754,2376,344
1920,3768,2153,1462,11150,2868,441
2476,4018,2072,1463,12049,3089,394
2162,2544,1308,1464,7572,1285,273
110,160,138,1467,511,76,27
1075,1312,974,1468,4124,648,115
1976,2017,1335,1469,7454,1917,209
1440,2439,1697,1473,7566,1783,207
435,695,317,1474,1964,477,40
2585,3108,1929,1475,10738,2714,402
3435,5117,3319,1501,16412,3427,1114
601,956,726,1503,3098,647,168
2158,3129,1529,1504,9201,2149,236
993,1367,786,1505,4524,1164,214
823,944,881,1506,3406,684,74
3042,4531,2142,1507,13379,3171,493
4097,3901,2213,1510,13855,3099,545
562,612,428,1515,2123,455,66
1752,3169,1190,1516,8745,2437,197
671,1087,784,1518,3490,850,98
1443,2231,1171,1519,6657,1581,231
3278,4539,2714,1520,15061,3929,601
469,899,487,1521,2510,598,57
628,973,649,1522,3497,1034,213
2267,2103,1387,1523,7735,1728,250
1597,1985,1479,1524,6702,1359,282
58,59,45,1525,227,65,0
3279,4232,2598,1527,13521,2931,481
718,1149,434,1529,3237,820,116
218,457,234,1531,1247,308,30
3131,4885,2642,1532,14918,3600,660
1388,2061,1062,1534,6262,1373,378
1132,1519,896,1535,4760,1071,142
1944,2458,1210,1536,7709,1953,144
653,431,408,1537,2337,748,97
2768,3220,2132,1540,11386,2982,284
607,1183,899,1541,3438,701,48
507,765,475,1542,2299,441,111
1794,2768,1371,1543,8463,2428,102
7735,11260,6028,1545,36269,9575,1671
4416,4677,3012,1550,16858,3984,769
1062,1470,520,1560,4477,1277,148
18,96,37,1561,243,23,69
3131,3383,2654,1562,11856,2231,457
1473,2502,1556,1564,8000,2162,307
1203,1959,995,1566,6006,1624,225
1516,2506,1374,1568,7706,2145,165
3351,4642,1802,1569,13864,3551,518
4270,4715,3202,1570,16926,3830,909
2731,3618,1667,1571,11637,3314,307
4421,5750,2590,1581,18836,5306,769
2811,1968,1472,1583,7639,1086,302
1135,1322,1045,1585,4661,834,325
2465,2813,1521,1588,9864,2662,403
1521,3315,1653,1590,9297,2475,333
6566,6886,4238,1602,24166,5335,1141
6003,5480,2914,1603,19981,4714,870
12015,9078,5082,1604,36772,9217,1380
9241,6723,3289,1605,28742,8015,1474
5426,5820,3224,1606,19375,3873,1032
3007,2416,1300,1607,8698,1850,125
1342,642,427,1608,3371,891,69
6943,3931,3357,1609,20714,5332,1151
8885,5087,2178,1610,23438,6681,607
595,788,423,1611,2451,596,49
